Designator,Mid X,Mid Y,Layer,Rotation
1,46.2,8.89,Top,270
2,48.58,8.89,Top,270
3,4.6,18.1,Top,270
4,1.27,5.4,Top,270
5,3.49,5.4,Top,270
6,8.1,5.4,Top,90
7,2.22,13.97,Top,0
8,2.22,11.75,Top,180
9,14.29,8.89,Top,270
10,10.48,5.4,Top,270
11,12.54,5.4,Top,90
12,10.79,14.64,Top,90
13,8.73,18.1,Top,90
14,13.02,14.61,Top,90
15,15.24,18.1,Top,90
16,15.24,14.61,Top,270
17,17.62,18.1,Top,270
18,20.8,18.1,Top,90
19,27.46,18.1,Top,90
20,29.69,18.1,Top,270
21,17.46,5.4,Top,90
22,23.02,14.61,Top,270
23,20.8,5.4,Top,90
24,23.02,5.4,Top,270
25,38.1,13.97,Top,0
26,42.55,18.1,Top,270
27,45.56,5.4,Top,90
28,47.78,5.4,Top,90
29,40.32,18.1,Top,90
30,43.34,5.4,Top,270
31,15.08,5.4,Top,270
32,37.94,5.48,Top,270
33,45.96,14.05,Top,90
34,6.35,19.37,Top,90
35,37.94,8.89,Top,270
36,7.62,19.37,Top,90
37,4.6,47.31,Top,270
38,35.4,18.1,Top,270
39,25.24,14.61,Top,270
40,31.91,18.1,Top,270
41,29.69,14.61,Top,270
42,1.27,34.61,Top,270
43,3.49,34.61,Top,270
44,29.69,8.89,Top,90
45,27.46,5.4,Top,270
46,29.69,5.4,Top,270
47,25.24,8.89,Top,90
48,35.4,5.4,Top,270
49,31.91,5.4,Top,270
50,8.1,34.61,Top,90
51,2.22,43.18,Top,0
52,2.22,40.96,Top,180
53,10.48,34.61,Top,270
54,12.54,34.61,Top,90
55,10.79,43.85,Top,90
56,8.73,47.31,Top,90
57,13.02,43.82,Top,90
58,15.24,47.31,Top,90
59,15.24,43.82,Top,270
60,17.62,47.31,Top,270
61,20.8,47.31,Top,90
62,27.46,47.31,Top,90
63,29.69,47.31,Top,270
64,23.02,43.82,Top,270
65,20.8,34.61,Top,90
66,23.02,34.61,Top,270
67,38.1,43.18,Top,0
68,42.55,47.31,Top,270
69,45.56,34.61,Top,90
70,47.78,34.61,Top,90
71,40.32,47.31,Top,90
72,43.34,34.61,Top,270
73,37.94,38.1,Top,270
74,35.4,47.31,Top,270
75,25.24,43.82,Top,270
76,31.91,47.31,Top,270
77,29.69,43.82,Top,270
78,29.69,38.1,Top,90
79,27.46,34.61,Top,270
80,29.69,34.61,Top,270
81,25.24,38.1,Top,90
82,35.4,34.61,Top,270
83,31.91,34.61,Top,270
84,14.29,38.1,Top,270
85,15.08,34.61,Top,270
86,17.46,34.61,Top,90
87,37.94,34.69,Top,270
88,6.35,48.58,Top,90
89,7.62,48.58,Top,90
90,46.2,38.1,Top,270
91,48.58,38.1,Top,270
92,45.96,43.26,Top,90
C1,41.12,5.4,Top,270
C2,38.1,18.1,Top,90
C3,27.46,14.61,Top,270
C4,27.46,8.89,Top,90
C5,53.98,18.36,Top,270
C6,54.48,4.86,Top,90
C7,2.22,9.53,Top,180
C8,51.12,16.35,Top,270
C9,6.35,16.35,Top,90
C10,19.21,6.83,Top,90
C11,6.35,6.83,Top,90
C12,19.21,16.67,Top,90
C13,33.66,16.67,Top,90
C14,41.12,34.61,Top,270
C15,42.86,7.94,Top,180
C16,33.66,6.83,Top,90
C17,42.86,15.72,Top,0
C18,38.1,47.31,Top,90
C19,27.46,43.82,Top,270
C20,44.77,18.1,Top,270
C21,27.46,38.1,Top,90
C22,53.98,47.57,Top,270
C23,54.48,34.07,Top,90
C24,2.22,38.73,Top,180
C25,33.66,36.04,Top,90
C26,19.21,36.04,Top,90
C27,6.35,36.04,Top,90
C28,51.12,45.56,Top,270
C29,6.35,45.56,Top,90
C30,19.21,45.88,Top,90
C31,33.66,45.88,Top,90
C32,42.86,37.15,Top,180
C33,42.86,44.93,Top,0
C34,44.77,47.31,Top,270
D1,10.79,18.1,Top,90
D2,13.02,18.1,Top,90
D3,23.02,18.1,Top,270
D4,25.24,18.1,Top,90
D5,10.79,47.31,Top,90
D6,13.02,47.31,Top,90
D7,23.02,47.31,Top,270
D8,25.24,47.31,Top,90
IC1,6.35,11.75,Top,0
IC2,19.21,11.75,Top,0
IC3,33.66,11.75,Top,0
IC4,6.35,40.96,Top,0
IC5,52.39,11.75,Top,0
IC6,19.21,40.96,Top,0
IC7,48.18,17.38,Top,90
IC8,42.31,11.75,Top,0
IC9,33.66,40.96,Top,0
IC10,52.39,40.96,Top,0
IC11,48.18,46.59,Top,90
IC12,42.31,40.96,Top,0
T1,1.91,17.14,Top,90
T2,1.91,46.36,Top,90
X1,27.94,1.27,Top,0
X2,27.94,30.48,Top,0