Comment,Designator,Footprint,LCSC Part #
MA22N-1J,X1 X2,MA22N-1J,C725954
330n,C20 C34,C0603,C1615
1N41480805,D1 D2 D3 D4 D5 D6 D7 D8,D0805,C2128
1k,4 42,R0603,C21190
1.2k,19 62,R0603,C22765
1u,C8 C9 C10 C11 C12 C13 C15 C16 C17 C25 C26 C27 C28 C29 C30 C31 C32 C33,C0402,C694272
2n3904,T1 T2,SOT23-BEC,C20526
3p,C7 C24,C0603,C318663
10k,26 27 68 69,R0603,C25804
10p,C1 C2 C14 C18,C0603,C1634
15k,20 21 63 86,R0603,C22809
20k,25 28 29 30 33 67 70 71 72 92,R0603,C4184
22k,22 64,R0603,C31850
27k,10 11 31 53 54 85,R0603,C22967
30k,9 84,R0603,C22984
30p,C3 C4 C19 C21,C0603,C1658
33k,32 48 82 87,R0603,C4216
49.9k,38 41 44 46 74 77 78 80,R0603,C23184
50k,15 40 45 58 76 79,R0603,C23184
68k,3 37,R0603,C23231
78L05F,IC7 IC11,SOT89,C71136
100k,1 2 6 7 12,R0603,C25803
100k,13,R0402,C25741
100k,14 16 23,R0603,C25803
100k,24 34,R0402,C25741
100k,35,R0603,C25803
100k,36,R0402,C25741
100k,39 47 49 50 51 55,R0603,C25803
100k,56,R0402,C25741
100k,57 59 65,R0603,C25803
100k,66,R0402,C25741
100k,73 75 81 83,R0603,C25803
100k,88 89,R0402,C25741
100k,90 91,R0603,C25803
100n,C5 C6 C22 C23,C1206,C338082
150k,18 61,R0603,C22807
200k,5 8 17 43 52 60,R0603,C25811
4013T,IC5 IC10,TSSOP14,C406860
TL074JT,IC1 IC2 IC3 IC4 IC6 IC8 IC9 IC12,TSSOP14,C2652279